muri_code,MRI,OpenAssistant,SuperNaturalInstructionv2,WikiHow,flan_v2_tulu,xP3
ace,7777,0,0,0,0,0
ady,104,0,0,0,0,0
afr,15000,0,0,0,0,0
aka,0,0,0,0,0,8000
alt,608,0,0,0,0,0
amh,14954,0,0,0,0,0
ara,15000,0,4456,2947,0,4000
arg,7108,0,0,0,0,0
asm,15000,0,500,0,0,4000
ava,1808,0,0,0,0,0
awa,466,0,0,0,0,0
aym,1757,0,0,0,0,0
aze,15000,0,0,0,0,0
bak,15000,0,0,0,0,0
bam,690,0,0,0,0,4000
ban,6696,0,0,0,0,0
bar,3411,0,0,0,0,0
bel,15000,0,0,0,0,0
ben,15000,0,6674,0,0,4000
bis,781,0,0,0,0,0
bod,3679,0,0,0,0,0
bre,15000,0,0,0,0,0
bug,6151,0,0,0,0,0
bul,15000,0,2104,0,0,0
cat,15000,230,2795,0,0,4000
ceb,15000,0,0,0,0,0
ces,15000,0,345,2293,0,0
chm,4107,0,0,0,0,0
chr,368,0,0,0,0,0
chv,14503,0,0,0,0,0
code,0,0,0,0,0,4000
cor,2410,0,0,0,0,0
cos,4258,0,0,0,0,0
crh,6179,0,0,0,0,0
cym,15000,0,0,0,0,0
dan,15000,0,0,0,0,0
deu,15000,326,5275,2069,0,0
din,284,0,0,0,0,0
div,11822,0,0,0,0,0
dzo,505,0,0,0,0,0
ell,15000,0,0,0,0,0
eng,15000,3480,0,3515,100000,4000
epo,15000,0,0,0,0,0
est,15000,0,1000,0,0,0
eus,15000,0,0,0,0,4000
ewe,946,0,0,0,0,0
fao,6739,0,0,0,0,0
fas,15000,0,13595,0,0,0
fij,992,0,0,0,0,0
fil,0,0,929,0,0,0
fin,15000,0,600,0,0,0
fon,329,0,0,0,0,4000
fra,15000,245,7332,2982,0,4000
fry,6626,0,0,0,0,0
ful,1565,0,0,0,0,0
fur,3460,0,0,0,0,0
gla,15000,0,0,0,0,0
gle,15000,0,0,0,0,0
glg,14354,0,2017,0,0,0
glv,2594,0,0,0,0,0
grn,5178,0,0,0,0,0
guc,168,0,0,0,0,0
guj,15000,0,5227,0,0,4000
hat,8876,0,1000,0,0,0
hau,8939,0,0,0,0,0
haw,809,0,0,0,0,0
hbs,15000,0,2400,0,0,0
heb,15000,0,1975,0,0,0
hif,6264,0,0,0,0,0
hin,15000,0,8483,2808,0,4000
hun,15000,0,0,0,0,0
hye,7259,0,0,0,0,0
ibo,9741,0,400,0,0,4000
ido,10382,0,0,0,0,0
iku,292,0,0,0,0,0
ilo,1892,0,0,0,0,0
isl,15000,0,0,0,0,0
ita,15000,110,5174,3552,0,0
jam,250,0,0,0,0,0
jav,8485,0,0,0,0,0
jpn,15000,0,9673,3775,0,0
kal,210,0,0,0,0,0
kan,15000,0,1000,0,0,4000
kas,2093,0,0,0,0,0
kat,15000,0,0,0,0,0
kaz,15000,0,0,0,0,0
kbd,572,0,0,0,0,0
kbp,1564,0,0,0,0,0
khm,14795,0,917,0,0,0
kik,0,0,0,0,0,4000
kin,4237,0,0,0,0,4000
kir,7464,0,0,0,0,0
kom,5268,0,0,0,0,0
kon,377,0,0,0,0,0
kor,15000,0,1663,3544,0,0
krc,2089,0,0,0,0,0
kur,15000,0,703,0,0,0
lah,1158,0,0,0,0,0
