config,split,num_rows,num_bytes_parquet_files
default,dev,226319,29099364
default,devtest,223652,30188282
ace_Arab,dev,997,123705
ace_Arab,devtest,1012,133281
ace_Latn,dev,997,112076
ace_Latn,devtest,1012,120091
acm_Arab,dev,997,132960
acm_Arab,devtest,1012,142748
acq_Arab,dev,997,134593
acq_Arab,devtest,1012,145061
aeb_Arab,dev,997,132055
aeb_Arab,devtest,1012,141321
afr_Latn,dev,997,115302
afr_Latn,devtest,1012,124209
als_Latn,dev,997,123705
als_Latn,devtest,1012,132018
amh_Ethi,dev,997,144258
amh_Ethi,devtest,1012,151474
apc_Arab_nort3139,dev,997,127890
apc_Arab_nort3139,devtest,1012,136725
apc_Arab_sout3123,dev,997,127680
apc_Arab_sout3123,devtest,1012,137540
apd_Arab,dev,997,130693
apd_Arab,devtest,1012,139959
arb_Arab,dev,997,135569
arb_Arab,devtest,1012,145835
arb_Latn,dev,997,127775
arb_Latn,devtest,1012,137020
arg_Latn,dev,997,125533
arg_Latn,devtest,1012,133667
ars_Arab,dev,997,135780
ars_Arab,devtest,1012,145882
ary_Arab,dev,997,133147
ary_Arab,devtest,1012,142642
arz_Arab,dev,997,131948
arz_Arab,devtest,1012,141695
asm_Beng,dev,997,165179
asm_Beng,devtest,1012,176128
ast_Latn,dev,997,116937
ast_Latn,devtest,1012,125699
awa_Deva,dev,997,155693
awa_Deva,devtest,1012,167611
ayr_Latn,dev,997,114407
ayr_Latn,devtest,1012,123312
azb_Arab,dev,997,132283
azb_Arab,devtest,1012,142002
azj_Latn,dev,997,125894
azj_Latn,devtest,1012,135459
bak_Cyrl,dev,997,147536
bak_Cyrl,devtest,1012,157549
bam_Latn,dev,997,109281
bam_Latn,devtest,1012,117532
ban_Latn,dev,997,112025
ban_Latn,devtest,1012,119663
bel_Cyrl,dev,997,166810
bel_Cyrl,devtest,1012,175573
bem_Latn,dev,997,124063
bem_Latn,devtest,1012,130779
ben_Beng,dev,997,164088
ben_Beng,devtest,1012,174442
bho_Deva,dev,997,152975
bho_Deva,devtest,1012,165041
bjn_Arab,dev,997,133961
bjn_Arab,devtest,1012,143262
bjn_Latn,dev,997,110282
bjn_Latn,devtest,1012,118037
bod_Tibt,dev,997,163538
bod_Tibt,devtest,1012,175745
bos_Latn,dev,997,119486
bos_Latn,devtest,1012,127228
brx_Deva,dev,997,162193
bug_Latn,dev,997,119106
bug_Latn,devtest,1012,127262
bul_Cyrl,dev,997,148918
bul_Cyrl,devtest,1012,159329
cat_Latn,dev,997,121347
cat_Latn,devtest,1012,130098
cat_Latn_vale1252,devtest,1012,130432
ceb_Latn,dev,997,119064
ceb_Latn,devtest,1012,128008
ces_Latn,dev,997,123437
ces_Latn,devtest,1012,132177
chv_Cyrl,dev,997,153135
chv_Cyrl,devtest,1012,152870
cjk_Latn,dev,997,119545
cjk_Latn,devtest,1012,126398
