value,format,n_total,n_test,n_train,n_validation
eng,xxx (ISO 639-3-like),125995,6300,113395,6300
spa,xxx (ISO 639-3-like),38090,1905,34281,1904
hin,xxx (ISO 639-3-like),30291,1514,27262,1515
zho,xxx (ISO 639-3-like),29630,1482,26667,1481
fra,xxx (ISO 639-3-like),29559,1478,26604,1477
fas,xxx (ISO 639-3-like),28595,1430,25735,1430
jpn,xxx (ISO 639-3-like),28448,1423,25603,1422
ara,xxx (ISO 639-3-like),26403,1321,23762,1320
ben,xxx (ISO 639-3-like),25674,1284,23107,1283
vie,xxx (ISO 639-3-like),25087,1254,22579,1254
msa,xxx (ISO 639-3-like),24567,1228,22110,1229
guj,xxx (ISO 639-3-like),24227,1212,21804,1211
tel,xxx (ISO 639-3-like),23914,1196,21523,1195
ita,xxx (ISO 639-3-like),23836,1192,21453,1191
tam,xxx (ISO 639-3-like),23565,1179,21208,1178
por,xxx (ISO 639-3-like),23351,1167,21016,1168
deu,xxx (ISO 639-3-like),22670,1134,20402,1134
mal,xxx (ISO 639-3-like),22576,1129,20318,1129
mar,xxx (ISO 639-3-like),22456,1123,20210,1123
cat,xxx (ISO 639-3-like),22025,1101,19822,1102
nld,xxx (ISO 639-3-like),21860,1093,19674,1093
ori,xxx (ISO 639-3-like),21775,1089,19597,1089
urd,xxx (ISO 639-3-like),21763,1088,19587,1088
pan,xxx (ISO 639-3-like),21688,1085,19519,1084
rus,xxx (ISO 639-3-like),21416,1072,19274,1070
tha,xxx (ISO 639-3-like),21406,1070,19265,1071
pol,xxx (ISO 639-3-like),20557,1028,18501,1028
swa,xxx (ISO 639-3-like),20500,1025,18450,1025
kor,xxx (ISO 639-3-like),20207,1010,18187,1010
kan,xxx (ISO 639-3-like),20000,1000,18000,1000
asm,xxx (ISO 639-3-like),19500,975,17550,975
eus,xxx (ISO 639-3-like),19000,950,17100,950
tur,xxx (ISO 639-3-like),18010,900,16209,901
ces,xxx (ISO 639-3-like),17638,881,15875,882
hbs,xxx (ISO 639-3-like),17400,870,15660,870
bul,xxx (ISO 639-3-like),17104,855,15394,855
heb,xxx (ISO 639-3-like),16975,848,15278,849
swe,xxx (ISO 639-3-like),16800,840,15120,840
glg,xxx (ISO 639-3-like),16371,819,14734,818
est,xxx (ISO 639-3-like),16000,800,14400,800
khm,xxx (ISO 639-3-like),15712,786,14140,786
kur,xxx (ISO 639-3-like),15703,785,14133,785
nep,xxx (ISO 639-3-like),15656,783,14090,783
fin,xxx (ISO 639-3-like),15600,780,14040,780
mya,xxx (ISO 639-3-like),15443,772,13899,772
sin,xxx (ISO 639-3-like),15400,770,13860,770
ron,xxx (ISO 639-3-like),15400,770,13860,770
nor,xxx (ISO 639-3-like),15200,760,13680,760
bre,xxx (ISO 639-3-like),15000,750,13500,750
mlg,xxx (ISO 639-3-like),15000,750,13500,750
ceb,xxx (ISO 639-3-like),15000,750,13500,750
isl,xxx (ISO 639-3-like),15000,750,13500,750
kat,xxx (ISO 639-3-like),15000,750,13500,750
bak,xxx (ISO 639-3-like),15000,750,13500,750
slk,xxx (ISO 639-3-like),15000,750,13500,750
mkd,xxx (ISO 639-3-like),15000,750,13500,750
epo,xxx (ISO 639-3-like),15000,750,13500,750
snd,xxx (ISO 639-3-like),15000,750,13500,750
tgk,xxx (ISO 639-3-like),15000,750,13500,750
ltz,xxx (ISO 639-3-like),15000,750,13500,750
hun,xxx (ISO 639-3-like),15000,750,13500,750
gle,xxx (ISO 639-3-like),15000,750,13500,750
tat,xxx (ISO 639-3-like),15000,750,13500,750
mon,xxx (ISO 639-3-like),15000,750,13500,750
oci,xxx (ISO 639-3-like),15000,750,13500,750
tuk,xxx (ISO 639-3-like),15000,750,13500,750
slv,xxx (ISO 639-3-like),15000,750,13500,750
uig,xxx (ISO 639-3-like),15000,750,13500,750
sqi,xxx (ISO 639-3-like),15000,750,13500,750
gla,xxx (ISO 639-3-like),15000,750,13500,750
