config,split,num_rows,num_bytes_parquet_files
ace,train,6999,922358
ace,validation,389,49164
ace,test,389,60146
ady,train,94,72999
ady,validation,5,13928
ady,test,5,11983
afr,train,13500,31292455
afr,validation,750,1769347
afr,test,750,1801171
aka,train,7200,1840378
aka,validation,400,109516
aka,test,400,104520
alt,train,547,1816453
alt,validation,31,57151
alt,test,30,143401
amh,train,13459,33577359
amh,validation,747,1782939
amh,test,748,1742717
ara,train,23762,29420428
ara,validation,1320,1692826
ara,test,1321,1534232
arg,train,6397,4203164
arg,validation,355,217303
arg,test,356,205953
asm,train,17550,46370520
asm,validation,975,2421862
asm,test,975,2466169
ava,train,1627,1347909
ava,validation,90,50969
ava,test,91,84943
awa,train,419,126967
awa,validation,24,27697
awa,test,23,68316
aym,train,1581,570520
aym,validation,88,33334
aym,test,88,35577
aze,train,13500,22177043
aze,validation,750,1450645
aze,test,750,1118600
bak,train,13500,32192599
bak,validation,750,1841932
bak,test,750,1779746
bam,train,4221,1128580
bam,validation,235,75002
bam,test,234,63008
ban,train,6026,2078387
ban,validation,335,114217
ban,test,335,135482
bar,train,3070,2223541
bar,validation,170,125845
bar,test,171,122843
bel,train,13500,32597845
bel,validation,750,1849275
bel,test,750,1838250
ben,train,23107,38861032
ben,validation,1283,2170373
ben,test,1284,2098242
bis,train,703,100395
bis,validation,39,12771
bis,test,39,10979
bod,train,3311,26617523
bod,validation,184,1104086
bod,test,184,1403850
bre,train,13500,8453286
bre,validation,750,434702
bre,test,750,411221
bug,train,5536,190655
bug,validation,307,18874
bug,test,308,12951
bul,train,15394,35265725
bul,validation,855,1812211
bul,test,855,1831231
cat,train,19822,28486618
cat,validation,1102,1460523
cat,test,1101,1525031
ceb,train,13500,9600001
ceb,validation,750,524546
ceb,test,750,533755
ces,train,15875,35294137
ces,validation,882,2048070
ces,test,881,1980160
chm,train,3696,1497515
chm,validation,205,73542
chm,test,206,97400
chr,train,331,123666
chr,validation,19,8130
chr,test,18,9597
chv,train,13053,18083417
chv,validation,725,1010761
chv,test,725,977242
code,train,3600,2787236
code,validation,200,177727
code,test,200,158077
cor,train,2169,978691
cor,validation,120,83404
cor,test,121,55683
cos,train,3832,3039014
cos,validation,213,150933
cos,test,213,130926
crh,train,5561,804161
crh,validation,309,47502
crh,test,309,46924
cym,train,13500,18771531
cym,validation,750,1058154
cym,test,750,1102122
dan,train,13500,24121443
dan,validation,750,1369104
dan,test,750,1197072
deu,train,20402,41515821
deu,validation,1134,2374756
deu,test,1134,2226840
din,train,256,260750
din,validation,14,22387
din,test,14,21991
div,train,10640,21461247
div,validation,591,1083679
div,test,591,1208072
dzo,train,455,1409771
dzo,validation,25,233211
dzo,test,25,98949
ell,train,13500,38964818
ell,validation,750,2047019
ell,test,750,2164179
eng,train,113395,122756094
eng,validation,6300,6916839
eng,test,6300,7208809
epo,train,13500,31112705
epo,validation,750,1687476
epo,test,750,1585872
est,train,14400,29957880
est,validation,800,1394181
est,test,800,1586066
eus,train,17100,21219862
eus,validation,950,1192241
eus,test,950,1107081
ewe,train,851,441357
ewe,validation,48,29828
ewe,test,47,27182
fao,train,6065,4045994
fao,validation,337,220437
fao,test,337,215885
fas,train,25735,25292858
fas,validation,1430,1427340
fas,test,1430,1353746
fij,train,893,269530
fij,validation,50,24708
fij,test,49,20028
fil,train,836,229294
fil,validation,47,20949
fil,test,46,19664
fin,train,14040,26259006
fin,validation,780,1331027
fin,test,780,1400143
fon,train,3896,1077286
fon,validation,217,69724
fon,test,216,69979
fra,train,26604,45428135
fra,validation,1477,2575736
fra,test,1478,2568748
fry,train,5963,10406846
fry,validation,331,584673
fry,test,332,516464
ful,train,1409,687040
ful,validation,78,51529
ful,test,78,44312
fur,train,3114,2051489
fur,validation,173,106898
fur,test,173,112023
gla,train,13500,9974671
gla,validation,750,580392
gla,test,750,538882
gle,train,13500,23373893
gle,validation,750,1462228
gle,test,750,1262802
glg,train,14734,25914238
glg,validation,818,1678256
glg,test,819,1600138
glv,train,2335,1561507
glv,validation,129,109707
glv,test,130,100681
grn,train,4660,3527660
grn,validation,259,165955
grn,test,259,172070
guc,train,151,110034
guc,validation,9,17900
guc,test,8,10918
guj,train,21804,34946463
guj,validation,1211,1919549
guj,test,1212,1867115
hat,train,8888,2855575
hat,validation,494,146644
hat,test,494,149526
hau,train,8045,10369879
hau,validation,447,624473
hau,test,447,594746
haw,train,728,363403
haw,validation,41,26439
haw,test,40,42428
hbs,train,15660,18490714
hbs,validation,870,943406
hbs,test,870,944841
heb,train,15278,46577894
heb,validation,849,2504069
heb,test,848,2908894
hif,train,5638,1575781
hif,validation,313,89132
hif,test,313,100096
hin,train,27262,50024172
hin,validation,1515,2845598
hin,test,1514,2908251
hun,train,13500,29615014
hun,validation,750,1637082
hun,test,750,1605750
hye,train,6533,16287143
hye,validation,363,969846
hye,test,363,982566
ibo,train,12727,14616462
ibo,validation,707,831322
ibo,test,707,904702
ido,train,9344,4225729
ido,validation,519,296316
ido,test,519,247658
iku,train,263,85638
iku,validation,15,9506
iku,test,14,11846
ilo,train,1703,479847
ilo,validation,94,38484
ilo,test,95,29878
isl,train,13500,24550989
isl,validation,750,1216310
isl,test,750,1420975
ita,train,21453,37257929
ita,validation,1191,2026978
ita,test,1192,2246471
jam,train,225,156277
jam,validation,13,11364
jam,test,12,14577
jav,train,7636,4038639
jav,validation,424,228430
jav,test,425,249649
jpn,train,25603,51617617
jpn,validation,1422,3016112
jpn,test,1423,2746575
kal,train,189,154749
kal,validation,11,21666
kal,test,10,21100
kan,train,18000,57223824
kan,validation,1000,3428060
kan,test,1000,3302090
kas,train,1884,521468
kas,validation,104,24893
kas,test,105,35978
kat,train,13500,30435782
kat,validation,750,1602371
kat,test,750,1653141
kaz,train,13500,30580660
kaz,validation,750,1622797
kaz,test,750,1795010
kbd,train,515,475786
kbd,validation,29,34908
kbd,test,28,27165
kbp,train,1408,1427165
kbp,validation,78,101006
kbp,test,78,87511
khm,train,14140,36220824
khm,validation,786,1919484
khm,test,786,1896858
kik,train,3600,928121
kik,validation,200,61017
kik,test,200,59852
kin,train,7413,4152252
kin,validation,412,227728
kin,test,412,248155
kir,train,6718,20000815
kir,validation,373,1085477
kir,test,373,974668
kom,train,4741,2352808
kom,validation,263,127090
kom,test,264,189914
kon,train,339,47648
kon,validation,19,7496
kon,test,19,7266
kor,train,18187,38167724
kor,validation,1010,2172436
kor,test,1010,1973810
krc,train,1880,1626198
krc,validation,104,83322
krc,test,105,76925
kur,train,14133,22023904
kur,validation,785,1142293
kur,test,785,1403711
lah,train,1042,1801420
lah,validation,58,101675
lah,test,58,102137
lao,train,10753,21000367
lao,validation,597,1233939
lao,test,598,1103066
lat,train,11967,16926885
lat,validation,665,1070587
lat,test,665,972162
lav,train,13500,25994713
lav,validation,750,1512158
lav,test,750,1466179
lij,train,6715,4758923
lij,validation,373,370818
lij,test,373,264677
lim,train,6815,8992898
lim,validation,378,529728
lim,test,379,503538
lin,train,4211,994707
lin,validation,234,72369
lin,test,234,59494
lit,train,13500,25222629
lit,validation,750,1295271
lit,test,750,1415474
lmo,train,2264,247954
lmo,validation,126,20398
lmo,test,126,20505
ltz,train,13500,21013817
ltz,validation,750,1141231
ltz,test,750,1083809
lug,train,6413,3705674
lug,validation,356,248758
lug,test,357,212289
mai,train,1223,666416
mai,validation,68,50483
mai,test,68,49556
mal,train,20318,36835069
mal,validation,1129,2157287
mal,test,1129,2022486
mar,train,20210,30647582
mar,validation,1123,1546323
mar,test,1123,1701692
mdf,train,1047,412832
mdf,validation,58,30287
mdf,test,58,37557
mkd,train,13500,31784274
mkd,validation,750,1711689
mkd,test,750,1821318
