source,subset,n,drop_instruction_summarize_translate,drop_response_code_fence,drop_response_html,drop_response_md_table,drop_response_latex,drop_response_empty_or_short,drop_response_very_long,drop_duplicate_response,kept_all_filters
MURI-eng,culturax/OSCAR-2019,554,1,0,2,0,0,11,13,0,527
MURI-eng,culturax/OSCAR-2109,981,3,0,2,0,1,105,5,0,866
MURI-eng,culturax/OSCAR-2201,102,0,0,1,0,0,5,4,0,92
MURI-eng,culturax/OSCAR-2301,443,3,0,1,0,0,17,19,0,403
MURI-eng,culturax/mC4,5506,109,2,19,0,19,3,68,0,5290
MURI-eng,wikipedia,7414,2,0,2,26,1,206,145,0,7033
LongForm,BEA-GEC,1203,15,0,0,0,0,15,0,0,1173
LongForm,BigBench,600,9,0,0,0,0,112,0,274,261
LongForm,C4,10000,32,0,11,0,4,112,0,17,9825
LongForm,Enron,372,0,0,1,0,0,155,2,16,203
LongForm,Natural Instructions,3684,533,0,0,0,0,676,0,1,2480
LongForm,StackExchange,4380,122,2,48,5,69,431,0,2,3723
LongForm,WikiHow,2500,0,0,19,0,2,18,15,32,2416
LongForm,Wikipedia,5000,1,0,0,0,0,1718,0,34,3281
