source,subset,n,instr_p10,instr_p25,instr_p50,instr_p75,instr_p90,instr_p99,resp_p10,resp_p25,resp_p50,resp_p75,resp_p90,resp_p99
MURI-eng,culturax/OSCAR-2019,554,31,41,52,70,89,350,373,826,2095,4777,9460,30033
MURI-eng,culturax/OSCAR-2109,981,33,42,56,73,93,221,196,351,875,2252,4534,16620
MURI-eng,culturax/OSCAR-2201,102,30,37,50,63,71,96,300,1018,2818,4995,8706,29220
MURI-eng,culturax/OSCAR-2301,443,30,39,52,70,91,177,377,953,2779,6583,12232,51045
MURI-eng,culturax/mC4,5506,34,43,56,72,93,306,626,1231,2324,4175,7026,22612
MURI-eng,wikipedia,7414,21,27,38,51,66,106,401,880,1960,4062,7899,28873
LongForm,BEA-GEC,1203,528,815,1127,1463,2045,3470,438,722,1048,1385,1966,3377
LongForm,BigBench,600,274,1489,5395,6829,8104,9531,118,261,962,1531,2107,3280
LongForm,C4,10000,41,55,73,98,125,201,563,1125,2163,3573,4860,6093
LongForm,Enron,372,53,66,80,102,130,209,29,86,325,1196,2713,9992
LongForm,Natural Instructions,3684,426,583,1531,5534,10989,23251,146,236,526,1357,2176,4101
LongForm,StackExchange,4380,258,416,758,1510,2902,7313,201,379,712,1293,2251,5200
LongForm,WikiHow,2500,42,54,85,107,120,138,588,1033,3747,7480,10468,17369
LongForm,Wikipedia,5000,28,41,54,69,85,120,111,163,270,447,688,1325
